Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return,MA20,MA50,Volatility
2019-11-11 00:00:00-05:00,137.61000061035156,137.7899932861328,136.44000244140625,137.05999755859375,7037300,0.0,0.0,0.0,,,,
2019-11-12 00:00:00-05:00,137.02999877929688,137.58999633789062,136.19000244140625,137.42999267578125,6448600,0.0,0.0,0.0,0.0026995120660886496,,,
2019-11-13 00:00:00-05:00,137.8000030517578,138.22000122070312,137.63999938964844,137.97999572753906,8776000,0.0,0.0,0.0,0.004002059820052306,,,
2019-11-14 00:00:00-05:00,138.38999938964844,138.94000244140625,137.8699951171875,138.55999755859375,5220500,0.0,0.0,0.0,0.004203521155341949,,,
2019-11-15 00:00:00-05:00,138.02999877929688,138.4199981689453,137.97000122070312,138.2100067138672,10106700,0.0,0.0,0.0,-0.0025259154943226836,,,
2019-11-18 00:00:00-05:00,138.44000244140625,138.85000610351562,138.3000030517578,138.6199951171875,5717900,0.0,0.0,0.0,0.0029664162029099383,,,
2019-11-19 00:00:00-05:00,138.1300048828125,138.97000122070312,138.1300048828125,138.69000244140625,4824400,0.0,0.0,0.0,0.0005050304911609071,,,
2019-11-20 00:00:00-05:00,138.52999877929688,139.0,138.10000610351562,138.75999450683594,6892100,0.0,0.0,0.0,0.0005046655432805469,,,
2019-11-21 00:00:00-05:00,138.38999938964844,138.55999755859375,137.77000427246094,138.0,4197200,0.0,0.0,0.0,-0.005477043362080103,,,
2019-11-22 00:00:00-05:00,138.3699951171875,138.4600067138672,137.66000366210938,137.74000549316406,3620300,0.0,0.0,0.0,-0.0018840181654777854,,,
2019-11-25 00:00:00-05:00,137.32000732421875,137.6199951171875,136.99000549316406,137.0800018310547,6415800,0.0,0.0,0.0,-0.004791662812458131,,,
2019-11-26 00:00:00-05:00,136.97999572753906,137.8000030517578,136.5800018310547,137.74000549316406,4724400,0.0,0.0,0.0,0.004814733391401704,,,
2019-11-27 00:00:00-05:00,137.02999877929688,137.2100067138672,136.8300018310547,137.00999450683594,4111000,0.0,0.0,0.0,-0.005299919828770094,,,
2019-11-29 00:00:00-05:00,137.10000610351562,138.1300048828125,137.0800018310547,137.86000061035156,4516400,0.0,0.0,0.0,0.006203971517371398,,,
2019-12-02 00:00:00-05:00,137.32000732421875,138.08999633789062,137.3000030517578,137.7899932861328,8274700,0.0,0.0,0.0,-0.0005078146228696401,,,
2019-12-03 00:00:00-05:00,139.0399932861328,139.57000732421875,138.97000122070312,139.11000061035156,8481700,0.0,0.0,0.0,0.00957984896245434,,,
2019-12-04 00:00:00-05:00,139.16000366210938,139.1699981689453,138.58999633789062,138.9199981689453,6322300,0.0,0.0,0.0,-0.0013658431498282386,,,
2019-12-05 00:00:00-05:00,138.8000030517578,139.4499969482422,138.7899932861328,139.0,5671500,0.0,0.0,0.0,0.0005758841931267078,,,
2019-12-06 00:00:00-05:00,137.75999450683594,137.8300018310547,137.39999389648438,137.6199951171875,8714500,0.0,0.0,0.0,-0.009928092682104261,,,
2019-12-09 00:00:00-05:00,137.8000030517578,137.80999755859375,137.4499969482422,137.5800018310547,2711600,0.0,0.0,0.0,-0.00029060665275248976,138.03799896240236,,
2019-12-10 00:00:00-05:00,138.25,138.3300018310547,137.74000549316406,137.97000122070312,3240800,0.0,0.0,0.0,0.0028347098739491816,138.0834991455078,,0.004597030276027008
2019-12-11 00:00:00-05:00,138.1999969482422,139.3000030517578,138.1199951171875,138.9199981689453,6097500,0.0,0.0,0.0,0.00688553265084435,138.15799942016602,,0.004800841405176137
